Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
Niro,CKD (excl. Russia),Febuary,0,0,,0,0,0,0,0,0,0,0
EV6,CKD (excl. Russia),Febuary,0,0,,0,0,0,0,0,0,0,0
Sportage,CKD (excl. Russia),Febuary,0,0,,0,31,0,414,0,285,0,0
Sorento,CKD (excl. Russia),Febuary,0,0,,0,0,0,70,0,117,0,0
New Carens,CKD (excl. Russia),Febuary,0,0,,0,0,0,0,0,0,0,0
Carens MPV,CKD (excl. Russia),Febuary,0,0,,0,0,0,0,0,57,0,0
Carnival / Sedona,CKD (excl. Russia),Febuary,0,0,,0,0,0,0,0,438,0,0
Bongo / Frontier,CKD (excl. Russia),Febuary,0,0,,0,0,234,0,0,607,0,0
Bongo,Special Vehicle,Febuary,0,0,,0,0,0,0,2,7,0,0
Millitary,Special Vehicle,Febuary,0,0,,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,Febuary,0,0,,0,72,0,0,0,18,0,0
Millitary (CKD),Special Vehicle,Febuary,0,0,,0,0,0,0,0,0,0,0
Bus (CKD),Special Vehicle,Febuary,0,0,,0,0,0,0,0,33,0,0
Morning / Picanto,Korean Plant,March,0,0,0,7411,570,1903,1405,462,798,0,0
Pride / Rio,Korean Plant,March,0,0,0,3569,175,61,379,546,490,0,0
K3,Korean Plant,March,0,54,47,0,169,5,482,17,445,0,0
K5 / Optima,Korean Plant,March,0,0,0,0,307,5,831,3,0,0,0
Stinger,Korean Plant,March,958,148,10,138,45,1,11,0,304,0,0
"K7,8 / Cadenza",Korean Plant,March,0,0,0,0,30,0,75,0,0,0,0
K9,Korean Plant,March,0,0,0,0,23,0,0,0,0,0,0
Stonic,Korean Plant,March,0,0,0,6619,436,212,295,105,891,0,0
Seltos,Korean Plant,March,6156,2295,0,0,105,230,1001,0,1217,0,0
Soul,Korean Plant,March,6907,213,227,0,276,107,0,0,1,0,0
Soul EV,Korean Plant,March,0,43,0,248,0,1,1,0,1,0,0
Niro,Korean Plant,March,2120,77,119,3740,18,66,231,39,178,0,0
Niro EV,Korean Plant,March,616,89,0,3633,37,9,37,10,122,0,0
Niro Plus,Korean Plant,March,0,0,0,0,0,0,784,4,65,0,0
Niro Plus EV,Korean Plant,March,0,0,0,0,0,0,1,0,33,0,0
EV6,Korean Plant,March,988,180,0,4070,15,19,17,17,415,35,0
EV9,Korean Plant,March,0,0,0,0,0,0,0,0,0,0,0
Sportage,Korean Plant,March,4654,1482,158,0,1674,679,0,0,1238,0,0
Sorento,Korean Plant,March,1877,166,0,1593,829,265,1044,138,1293,0,0
Mohave / Borrego,Korean Plant,March,0,0,,0,11,0,0,0,0,0,0
Carnival / Sedona,Korean Plant,March,3009,829,,0,223,153,250,38,1448,0,0
Bongo / Frontier,Korean Plant,March,0,0,,0,185,642,1019,289,372,0,0
Bus,Korean Plant,March,0,0,,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,March,0,0,,8380,277,4,75,11,54,0,0
Cee'd CUV,Slovakia Plant,March,0,0,,5444,178,15,0,40,0,0,0
Sportage,Slovakia Plant,March,0,0,,18217,479,381,1308,425,0,0,0
Pride / Rio (SC),Mexico Plant,March,2439,421,4716,0,0,1043,8,73,3,0,0
K3,Mexico Plant,March,11891,1278,845,0,0,115,0,0,4,0,0
Pride / Rio (FB),Russia Plant(incl. CKD Sales),March,0,0,,0,111,0,0,0,0,0,0
K3 (CKD),Russia Plant(incl. CKD Sales),March,0,0,,0,123,0,0,0,0,0,0
Soul (CKD),Russia Plant(incl. CKD Sales),March,0,0,,0,27,0,0,0,0,0,0
Seltos (CKD),Russia Plant(incl. CKD Sales),March,0,0,,0,94,0,0,0,0,0,0
Sorento (CKD),Russia Plant(incl. CKD Sales),March,0,0,,0,0,0,0,0,0,0,0
Optima / K5,US Plant,March,5774,122,0,0,0,0,0,0,0,0,0
Sportage,US Plant,March,8311,0,4,0,0,39,0,0,0,0,0
Sorento,US Plant,March,5009,817,238,0,0,20,0,0,0,0,0
Telluride,US Plant,March,10585,496,0,0,0,6,86,0,4,0,0
Pegas,China Plants,March,0,0,,0,0,1468,2052,236,142,0,102
Forte,China Plants,March,0,0,,0,0,0,0,0,0,0,1689
K3,China Plants,March,0,0,,0,0,0,0,0,0,0,533
K5 / Optima,China Plants,March,0,0,,0,0,0,0,0,0,0,237
