Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
KX7,China Plants,October,,,,0,0,,,,,0,0
Carnival,China Plants,October,,,,0,0,,,,,0,233
Sonet,China Plants,October,0,0,0,0,0,0,0,0,0,0,0
Seltos,China Plants,October,0,0,1852,0,0,521,319,0,29,0,0
Sonet,India Plants,October,0,0,0,0,2,1379,913,525,133,7086,0
Seltos,India Plants,October,0,0,80,0,0,494,777,340,109,12238,0
Carens MPV,India Plants,October,0,0,0,0,0,327,396,45,58,5440,0
Carnival (CKD),India Plants,October,,,,,,,,,,,
Morning / Picanto,CKD (excl. Russia),October,0,0,0,0,0,0,94,0,62,0,0
Pegas,CKD (excl. Russia),October,0,0,0,0,0,0,0,0,58,0,0
K3,CKD (excl. Russia),October,0,0,0,0,400,0,0,0,199,0,0
K5 / Optima,CKD (excl. Russia),October,0,0,0,0,0,0,0,0,36,0,0
"K7, K8 / Cadenza",CKD (excl. Russia),October,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD (excl. Russia),October,0,0,0,0,0,320,0,0,1064,0,0
Stonic,CKD (excl. Russia),October,0,0,0,0,0,0,34,0,0,0,0
Seltos,CKD (excl. Russia),October,0,0,0,0,0,20,0,0,907,0,0
Niro,CKD (excl. Russia),October,0,0,0,0,0,0,0,0,0,0,0
EV6,CKD (excl. Russia),October,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD (excl. Russia),October,0,0,0,0,300,0,140,0,72,0,0
Sorento,CKD (excl. Russia),October,0,0,0,0,0,0,29,0,86,0,0
New Carens,CKD (excl. Russia),October,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD (excl. Russia),October,0,0,0,0,0,0,0,0,461,0,0
Carnival / Sedona,CKD (excl. Russia),October,0,0,0,0,0,0,0,0,778,0,0
Bongo / Frontier,CKD (excl. Russia),October,0,0,0,0,0,267,0,0,580,0,0
Bongo,Special Vehicle,October,0,0,0,0,50,4,0,0,13,0,0
Millitary,Special Vehicle,October,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,October,0,0,0,0,0,0,0,0,10,0,0
Millitary (CKD),Special Vehicle,October,0,0,0,0,0,0,1,10,0,0,0
Bus (CKD),Special Vehicle,October,0,0,0,0,0,0,0,0,2,0,0
Morning / Picanto,Korean Plant,November,0,0,0,3645,238,1662,663,876,671,0,0
Pride / Rio,Korean Plant,November,0,0,0,422,24,9,46,306,21,0,0
K3,Korean Plant,November,0,46,27,0,198,46,786,321,827,0,0
K5 / Optima,Korean Plant,November,0,0,0,0,738,28,848,8,12,0,0
Stinger,Korean Plant,November,20,4,2,13,7,1,12,0,12,0,0
"K7,8 / Cadenza",Korean Plant,November,0,0,0,0,50,0,91,0,3,0,0
K9,Korean Plant,November,0,0,0,0,21,0,0,0,0,0,0
Stonic,Korean Plant,November,0,0,0,4339,769,237,180,328,692,0,0
Seltos,Korean Plant,November,4214,1117,0,0,328,365,117,0,1079,0,0
Soul,Korean Plant,November,3601,152,148,0,27,203,0,0,3,0,0
Soul EV,Korean Plant,November,0,9,0,147,0,5,0,0,0,0,0
Niro,Korean Plant,November,1246,91,117,2818,6,141,96,58,225,0,0
Niro EV,Korean Plant,November,1120,470,0,3532,81,16,35,14,190,0,0
Niro Plus,Korean Plant,November,0,0,0,0,0,0,233,1,12,0,0
Niro Plus EV,Korean Plant,November,0,0,0,0,0,0,0,2,1,0,0
EV6,Korean Plant,November,1290,215,0,2383,10,26,13,27,432,50,6
EV9,Korean Plant,November,5,0,0,1197,0,5,5,0,112,0,0
Sportage,Korean Plant,November,4386,1363,662,0,608,576,0,0,1910,0,0
Sorento,Korean Plant,November,1519,1,0,1349,347,138,255,116,457,0,0
Mohave / Borrego,Korean Plant,November,0,0,0,0,7,0,0,0,0,0,0
Carnival / Sedona,Korean Plant,November,3404,393,0,0,52,99,202,10,994,0,0
Bongo / Frontier,Korean Plant,November,0,0,0,0,481,993,1836,151,353,0,0
Bus,Korean Plant,November,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,November,0,0,0,7574,403,1,0,31,23,0,0
Cee'd CUV,Slovakia Plant,November,0,0,0,3177,188,22,0,128,0,0,0
Sportage,Slovakia Plant,November,0,0,0,13249,686,498,2223,1007,0,0,0
Pride / Rio (SC),Mexico Plant,November,1785,378,4126,0,0,1136,290,134,12,0,0
K3,Mexico Plant,November,9849,720,946,0,0,68,0,0,10,0,0
Pride / Rio (FB),Russia Plant(incl. CKD Sales),November,0,0,0,0,10,0,0,0,0,0,0
K3 (CKD),Russia Plant(incl. CKD Sales),November,0,0,0,0,30,0,0,0,0,0,0
Soul (CKD),Russia Plant(incl. CKD Sales),November,0,0,0,0,220,0,0,0,0,0,0
Seltos (CKD),Russia Plant(incl. CKD Sales),November,0,0,0,0,510,0,0,0,0,0,0
Sorento (CKD),Russia Plant(incl. CKD Sales),November,,,,,,,,,,,
Optima / K5,US Plant,November,5112,51,0,0,0,9,0,0,0,0,0
Sportage,US Plant,November,6624,0,0,0,0,30,0,0,0,0,0
Sorento,US Plant,November,5353,425,172,0,0,27,0,0,0,0,0
Telluride,US Plant,November,8810,388,0,0,0,2,202,0,2,0,0
Pegas,China Plants,November,0,0,0,0,0,2418,1615,79,171,0,56
Forte,China Plants,November,,,,0,0,,,,,0,2262
K3,China Plants,November,0,0,0,0,0,0,0,0,0,0,644
K5 / Optima,China Plants,November,0,0,0,0,0,0,0,0,0,0,95
KX1,China Plants,November,0,0,0,0,0,0,0,0,167,0,761
KX3,China Plants,November,,,,0,0,,,,,0,931
Zhipao,China Plants,November,,,,0,0,,,,,0,464
Sportage(KX5),China Plants,November,0,0,0,0,0,0,0,0,0,0,1524
KX7,China Plants,November,,,,0,0,,,,,0,0
Carnival,China Plants,November,,,,0,0,,,,,0,157
Sonet,China Plants,November,0,0,0,0,0,0,0,0,0,0,0
Seltos,China Plants,November,0,0,1778,0,0,606,509,68,26,0,0
EV5,China Plants,November,0,0,0,0,0,0,0,0,0,0,104
Sonet,India Plants,November,0,0,0,0,0,1238,1537,1093,98,6715,0
Seltos,India Plants,November,0,0,42,0,0,336,504,423,98,10263,0
Carens MPV,India Plants,November,0,0,0,0,0,197,387,45,59,4993,0
Carnival (CKD),India Plants,November,0,0,0,0,0,0,129,0,130,0,0
Morning / Picanto,CKD (excl. Russia),November,0,0,0,0,0,0,129,0,130,0,0
Pegas,CKD (excl. Russia),November,0,0,0,0,0,0,0,0,39,0,0
K3,CKD (excl. Russia),November,0,0,0,0,350,0,0,0,275,0,0
K5 / Optima,CKD (excl. Russia),November,0,0,0,0,0,0,0,0,32,0,0
"K7, K8 / Cadenza",CKD (excl. Russia),November,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD (excl. Russia),November,0,0,0,0,0,375,0,0,1154,0,0
Stonic,CKD (excl. Russia),November,0,0,0,0,0,0,26,0,0,0,0
Seltos,CKD (excl. Russia),November,0,0,0,0,0,0,0,0,752,0,0
Niro,CKD (excl. Russia),November,0,0,0,0,0,0,0,0,0,0,0
EV6,CKD (excl. Russia),November,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD (excl. Russia),November,0,0,0,0,400,0,143,0,112,0,0
Sorento,CKD (excl. Russia),November,0,0,0,0,0,0,96,0,106,0,0
New Carens,CKD (excl. Russia),November,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD (excl. Russia),November,0,0,0,0,0,0,0,0,398,0,0
Carnival / Sedona,CKD (excl. Russia),November,0,0,0,0,0,0,0,0,844,0,0
Bongo / Frontier,CKD (excl. Russia),November,0,0,0,0,0,199,0,0,780,0,0
Bongo,Special Vehicle,November,0,0,0,0,80,11,0,2,8,0,0
Millitary,Special Vehicle,November,0,0,0,0,0,13,0,50,0,0,0
Bongo (CKD),Special Vehicle,November,0,0,0,0,0,0,0,0,0,0,0
Millitary (CKD),Special Vehicle,November,0,0,0,0,0,0,0,1,0,0,0
Bus (CKD),Special Vehicle,November,0,0,0,0,0,0,0,0,40,0,0
Morning / Picanto,Korean Plant,December,0,0,0,2566,228,2092,405,724,587,0,0
Pride / Rio,Korean Plant,December,0,0,0,307,4,102,5,163,3,0,0
K3,Korean Plant,December,0,20,34,0,171,14,660,222,682,0,0
K5 / Optima,Korean Plant,December,0,0,0,0,445,14,830,11,13,0,0
Stinger,Korean Plant,December,11,8,0,24,1,0,15,0,13,0,0
"K7,8 / Cadenza",Korean Plant,December,0,0,0,0,37,0,81,0,0,0,0
K9,Korean Plant,December,0,0,0,0,14,0,0,0,0,0,0
Stonic,Korean Plant,December,0,0,0,4032,960,194,75,269,465,0,0
Seltos,Korean Plant,December,4425,1259,0,0,309,243,30,0,677,0,0
Soul,Korean Plant,December,3399,142,162,0,27,269,0,0,3,0,0
Soul EV,Korean Plant,December,0,9,0,87,0,3,0,0,0,0,0
Niro,Korean Plant,December,1272,67,111,2185,32,165,44,46,188,0,0
Niro EV,Korean Plant,December,1169,282,0,2139,68,17,9,41,147,0,0
Niro Plus,Korean Plant,December,0,0,0,0,0,0,49,2,90,0,0
Niro Plus EV,Korean Plant,December,0,0,0,0,0,0,0,0,9,0,0
EV6,Korean Plant,December,1249,216,8,1942,5,16,1,19,510,30,5
EV9,Korean Plant,December,1113,41,0,919,2,8,4,2,117,0,0
Sportage,Korean Plant,December,4208,1071,601,0,528,810,0,0,2040,0,0
Sorento,Korean Plant,December,1437,2,0,1098,248,127,980,125,538,0,0
Mohave / Borrego,Korean Plant,December,0,0,0,0,20,0,0,0,0,0,0
Carnival / Sedona,Korean Plant,December,3603,292,0,0,51,80,182,123,1311,0,0
Bongo / Frontier,Korean Plant,December,0,0,0,0,613,889,1549,144,185,0,0
Bus,Korean Plant,December,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,December,0,0,0,5722,329,5,0,53,14,0,0
Cee'd CUV,Slovakia Plant,December,0,0,0,2558,269,17,0,106,0,0,0
Sportage,Slovakia Plant,December,0,0,0,10679,963,582,1120,1179,0,0,0
Pride / Rio (SC),Mexico Plant,December,1279,289,4160,0,0,1061,74,61,2,0,0
K3,Mexico Plant,December,9576,621,1012,0,0,156,0,0,2,0,0
Pride / Rio (FB),Russia Plant(incl. CKD Sales),December,0,0,0,0,2,0,0,0,0,0,0
K3 (CKD),Russia Plant(incl. CKD Sales),December,0,0,0,0,14,0,0,0,0,0,0
Soul (CKD),Russia Plant(incl. CKD Sales),December,0,0,0,0,277,0,0,0,0,0,0
Seltos (CKD),Russia Plant(incl. CKD Sales),December,0,0,0,0,446,0,0,0,0,0,0
Sorento (CKD),Russia Plant(incl. CKD Sales),December,,,,,,,,,,,
Optima / K5,US Plant,December,4866,19,0,0,0,14,0,0,0,0,0
Sportage,US Plant,December,6925,0,0,0,0,22,0,0,0,0,0
Sorento,US Plant,December,6302,186,154,0,0,34,0,0,0,0,0
Telluride,US Plant,December,9441,158,0,0,0,11,87,0,1,0,0
Pegas,China Plants,December,0,0,0,0,0,2039,1339,115,133,0,48
Forte,China Plants,December,,,,0,0,,,,,0,1493
K3,China Plants,December,0,0,0,0,0,0,0,0,0,0,1234
K5 / Optima,China Plants,December,0,0,0,0,0,0,0,0,0,0,202
KX1,China Plants,December,0,0,0,0,0,0,0,0,99,0,859
KX3,China Plants,December,,,,0,0,,,,,0,1345
Zhipao,China Plants,December,,,,0,0,,,,,0,682
Sportage(KX5),China Plants,December,0,0,0,0,0,0,0,0,0,0,1636
KX7,China Plants,December,,,,0,0,,,,,0,0
Carnival,China Plants,December,,,,0,0,,,,,0,156
Sonet,China Plants,December,0,0,0,0,0,0,0,0,0,0,0
Seltos,China Plants,December,0,0,1649,0,0,719,1066,1,54,0,0
EV5,China Plants,December,0,0,0,0,0,0,0,0,0,0,347
Sonet,India Plants,December,0,0,0,0,0,1393,1885,1101,101,3903,0
Seltos,India Plants,December,0,0,16,0,0,253,174,427,97,10436,0
Carens MPV,India Plants,December,0,0,0,0,0,249,205,68,55,4727,0
Carnival (CKD),India Plants,December,,,,,,,,,,,
Morning / Picanto,CKD (excl. Russia),December,0,0,0,0,0,0,136,0,102,0,0
Pegas,CKD (excl. Russia),December,0,0,0,0,0,0,0,0,45,0,0
K3,CKD (excl. Russia),December,0,0,0,0,300,0,0,0,389,0,0
K5 / Optima,CKD (excl. Russia),December,0,0,0,0,0,0,0,0,18,0,0
"K7, K8 / Cadenza",CKD (excl. Russia),December,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD (excl. Russia),December,0,0,0,0,0,397,0,0,1372,0,0
Stonic,CKD (excl. Russia),December,0,0,0,0,0,0,25,0,0,0,0
Seltos,CKD (excl. Russia),December,0,0,0,0,0,0,0,0,1101,0,0
Niro,CKD (excl. Russia),December,0,0,0,0,0,0,0,0,0,0,0
EV6,CKD (excl. Russia),December,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD (excl. Russia),December,0,0,0,0,950,0,193,0,251,0,0
Sorento,CKD (excl. Russia),December,0,0,0,0,0,0,167,0,134,0,0
New Carens,CKD (excl. Russia),December,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD (excl. Russia),December,0,0,0,0,0,0,0,0,476,0,0
Carnival / Sedona,CKD (excl. Russia),December,0,0,0,0,0,0,0,0,667,0,0
Bongo / Frontier,CKD (excl. Russia),December,0,0,0,0,0,235,0,0,501,0,0
Bongo,Special Vehicle,December,0,0,0,0,127,0,0,0,16,0,0
Millitary,Special Vehicle,December,0,0,0,0,0,0,0,0,30,0,0
Bongo (CKD),Special Vehicle,December,0,0,0,0,0,0,0,0,0,0,0
Millitary (CKD),Special Vehicle,December,0,0,0,0,0,0,0,0,0,0,0
Bus (CKD),Special Vehicle,December,0,0,0,0,0,0,0,0,30,0,0
