Model,Plant,Month,Korea,U.S.A,Canada,Mexico,*Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
"K7, K8 / Cadenza",CKD,Febuary,0,0,0,0,0,0,0,0,0,0,0,0
Sonet,CKD,Febuary,0,0,0,0,0,0,250,0,0,330,0,0
Stonic,CKD,Febuary,0,0,0,0,0,0,0,38,0,0,0,0
Seltos,CKD,Febuary,0,0,0,0,0,319,0,0,0,276,0,0
Soul,CKD,Febuary,0,0,0,0,0,255,0,0,0,0,0,0
EV5,CKD,Febuary,0,0,0,0,0,0,0,0,0,0,0,0
EV9,CKD,Febuary,0,0,0,0,0,0,0,0,0,0,0,0
Sportage,CKD,Febuary,0,0,0,0,0,1120,0,233,0,46,0,0
Sorento,CKD,Febuary,0,0,0,0,0,0,0,127,0,48,0,0
New Carens,CKD,Febuary,0,0,0,0,0,0,0,0,0,0,0,0
Carens MPV,CKD,Febuary,0,0,0,0,0,0,0,0,0,343,0,0
Carnival / Sedona,CKD,Febuary,0,0,0,0,0,0,0,0,0,510,0,0
Bongo / Frontier,CKD,Febuary,0,0,0,0,0,0,163,0,0,500,0,0
Bongo,Special Vehicle,Febuary,0,0,0,0,0,94,0,0,4,3,0,0
Millitary,Special Vehicle,Febuary,68,0,0,0,3,0,0,0,0,0,0,0
Bus,Special Vehicle,Febuary,0,0,0,0,0,0,0,0,0,0,0,0
Bongo (CKD),Special Vehicle,Febuary,0,0,0,0,0,13,0,0,0,0,0,0
Millitary (CKD),Special Vehicle,Febuary,0,0,0,0,0,0,0,0,0,0,0,0
Bus (CKD),Special Vehicle,Febuary,0,0,0,0,0,0,0,0,0,96,0,0
Morning / Picanto,Korea Plants,March,1416,0,0,0,6287,310,1212,589,429,687,0,0
Pride / Rio,Korea Plants,March,0,0,0,0,78,7,0,0,2,0,0,0
Ray,Korea Plants,March,3172,0,0,0,0,0,0,0,0,0,0,0
Ray EV,Korea Plants,March,1520,0,0,0,0,0,0,0,0,0,0,0
K3,Korea Plants,March,1460,0,58,53,0,60,31,653,136,1203,0,0
K5 / Optima,Korea Plants,March,3577,0,0,0,0,396,13,1019,15,0,0,0
Stinger,Korea Plants,March,0,1,4,0,8,1,2,12,0,0,0,0
"K7,8 / Cadenza",Korea Plants,March,2016,0,0,0,0,7,0,101,1,0,0,0
K9,Korea Plants,March,140,0,0,0,0,19,0,0,0,0,0,0
Stonic,Korea Plants,March,0,0,0,0,6494,857,260,150,134,838,0,0
Seltos,Korea Plants,March,4748,6017,2160,0,0,185,538,317,0,1161,0,0
Soul,Korea Plants,March,0,5284,130,146,0,73,194,0,0,2,0,0
Soul EV,Korea Plants,March,0,0,0,0,198,0,4,0,0,0,0,0
Niro,Korea Plants,March,917,1693,184,135,5210,5,144,35,67,261,0,0
Niro EV,Korea Plants,March,134,1209,443,0,3372,45,82,56,28,178,0,0
Niro Plus,Korea Plants,March,0,0,0,0,0,0,0,13,0,0,0,0
Niro Plus EV,Korea Plants,March,86,0,0,0,0,0,0,679,0,2,0,0
EV3,Korea Plants,March,0,0,0,0,0,0,0,0,0,0,0,0
EV4,Korea Plants,March,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,March,1275,1537,533,10,2662,48,9,36,32,273,20,1
EV9,Korea Plants,March,183,1281,248,0,1008,26,13,2,3,111,0,0
Sportage,Korea Plants,March,6736,6580,1732,502,0,654,723,0,0,2866,0,0
